parcel,HouseNum,Ext,Rear,Unit,Dir,Street,Des,address,I Desig Date1,I Desig Date2,D Desig Date,District,Int Desig Date,latitude,longitude
'871006100','116','','','0000000','S','20th','St','116 S 20th St','','','2/8/1995 0:00:00','RF','',39.9514272835549,-75.1738558314929
'881026300','135','','','0000000','S','20th','St','135 S 20th St','','','2/8/1995 0:00:00','RF','',39.9507816158,-75.1735984138109
'881548000','218','','','0000000','S','20th','St','218 S 20th St','','','2/8/1995 0:00:00','RF','',39.9499927903555,-75.1741814065429
'871073600','220','','','0000000','S','20th','St','220 S 20th St','','','2/8/1995 0:00:00','RF','',39.949946303181,-75.1741903053377
'082182201','224','','','0000000','S','20th','St','224 S 20th St','','','2/8/1995 0:00:00','RF','',39.9498480010256,-75.1742154413945
'082182300','226','','','0000000','S','20th','St','226 S 20th St','','','2/8/1995 0:00:00','RF','',39.9498015138483,-75.174224340147
'881547700','227','','','0000000','S','20th','St','227 S 20th St','','','2/8/1995 0:00:00','RF','',39.949686595064,-75.1737541176995
'082182400','228','','','0000000','S','20th','St','228 S 20th St','','','2/8/1995 0:00:00','RF','',39.9497523627674,-75.1742369081331
'082182500','230','','','0000000','S','20th','St','230 S 20th St','','','2/8/1995 0:00:00','RF','',39.9497058755884,-75.1742458068584
'082182600','232','','','0000000','S','20th','St','232 S 20th St','','','2/8/1995 0:00:00','RF','',39.9496593884086,-75.1742547055715
'881548100','234','','','0000000','S','20th','St','234 S 20th St','','','2/8/1995 0:00:00','RF','',39.949612901228,-75.1742636042725
'082182800','236','','','0000000','S','20th','St','236 S 20th St','','','2/8/1995 0:00:00','RF','',39.9495664941009,-75.1742760681812
'881548200','238','','','0000000','S','20th','St','238 S 20th St','','','2/8/1995 0:00:00','RF','',39.9495172629604,-75.1742850708691
'772303000','240','','','0000000','S','20th','St','240 S 20th St','','','2/8/1995 0:00:00','RF','',39.9492832038029,-75.1743795809379
'082183100','242','','','0000000','S','20th','St','242 S 20th St','','','2/8/1995 0:00:00','RF','',39.9491847415042,-75.1743975860757
'772304000','250','','','0000000','S','20th','St','250 S 20th St','','','2/8/1995 0:00:00','RF','',39.9491301024869,-75.1744103618386
'082179010','253','','','0000000','S','20th','St','253 S 20th St','','','2/8/1995 0:00:00','RF','',39.9488313174437,-75.1740684336802
'082179101','255','','','0000000','S','20th','St','255 S 20th St','','','2/8/1995 0:00:00','RF','',39.9487417494276,-75.173993328481
'871281050','256','58','','0000000','S','20th','St','256-58 S 20th St','','','2/8/1995 0:00:00','RF','',39.9487129407592,-75.1744226057916
'082179200','257','','','0000000','S','20th','St','257 S 20th St','','','2/8/1995 0:00:00','RF','',39.948695342329,-75.1740057924145
'881547900','259','61','','0000000','S','20th','St','259-61 S 20th St','','','2/8/1995 0:00:00','RF','',39.9486488551668,-75.1740146911595
'871073700','260','','','0000000','S','20th','St','260 S 20th St','','','2/8/1995 0:00:00','RF','',39.948641918037,-75.1744395706551
'871073750','262','','','0000000','S','20th','St','262 S 20th St','','','2/8/1995 0:00:00','RF','',39.9485981747995,-75.1744483650907
'871073800','264','','','0000000','S','20th','St','264 S 20th St','','','2/8/1995 0:00:00','RF','',39.9485542714642,-75.1744500291811
'082179400','265','','','0000000','S','20th','St','265 S 20th St','','','2/8/1995 0:00:00','RF','',39.9484917071153,-75.1741098535763
'082183800','266','','','0000000','S','20th','St','266 S 20th St','','','2/8/1995 0:00:00','RF','',39.9485105282259,-75.1744588235986
'082179500','267','','','0000000','S','20th','St','267 S 20th St','','','2/8/1995 0:00:00','RF','',39.9484507078612,-75.1741185441859
'871073850','268','','','0000000','S','20th','St','268 S 20th St','','','2/8/1995 0:00:00','RF','',39.9484667849869,-75.1744676180049
'082179600','269','','','0000000','S','20th','St','269 S 20th St','','','2/8/1995 0:00:00','RF','',39.9484152765814,-75.1741305919075
'871288700','270','','','0000000','S','20th','St','270 S 20th St','','','2/8/1995 0:00:00','RF','',39.9484230417471,-75.1744764123998
'871073900','272','','','0000000','S','20th','St','272 S 20th St','','','2/8/1995 0:00:00','RF','',39.9483792985067,-75.1744852067834
'082184201','274','','','0000000','S','20th','St','274 S 20th St','','','2/8/1995 0:00:00','RF','',39.9483383792713,-75.1744974623079
