"Parcel","HouseNum","Ext","Rear","Unit","Dir","Street","Des","Loc","I Desig Date1","I Desig Date2","D Desig Date","District","Int Desig Date"
"888031438","22",,,"207","S","Front","St","22 S Front St",,,12/12/2003 0:00:00,"OC",
"888031440","22",,,"301","S","Front","St","22 S Front St",,,12/12/2003 0:00:00,"OC",
"888031442","22",,,"302","S","Front","St","22 S Front St",,,12/12/2003 0:00:00,"OC",
"888031444","22",,,"303","S","Front","St","22 S Front St",,,12/12/2003 0:00:00,"OC",
"888031446","22",,,"304","S","Front","St","22 S Front St",,,12/12/2003 0:00:00,"OC",
"888031448","22",,,"305","S","Front","St","22 S Front St",,,12/12/2003 0:00:00,"OC",
"888031450","22",,,"306","S","Front","St","22 S Front St",,,12/12/2003 0:00:00,"OC",
"888031452","22",,,"307","S","Front","St","22 S Front St",,,12/12/2003 0:00:00,"OC",
"888031454","22",,,"308","S","Front","St","22 S Front St",,,12/12/2003 0:00:00,"OC",
"888031456","22",,,"401","S","Front","St","22 S Front St",,,12/12/2003 0:00:00,"OC",
"888110192","317",,,"G37",,"Vine","St","317 Vine St",,,12/12/2003 0:00:00,"OC",
"775339000","6008",,,"0000000",,"Wayne","Ave","6008 Wayne Ave",11/30/1965 0:00:00,,,,
"884440518","128",,,"0000000",,"Elfreths","Aly","128 Elfreths Aly",11/8/2002 0:00:00,,12/12/2003 0:00:00,"OC",
"777236000","900","16",,"0000000","W","Lehigh","Ave","900-16 W Lehigh Ave",3/8/2002 0:00:00,,,,
"883130000","1300",,,"A",,"Market","St","1300 Market St",8/2/1973 0:00:00,6/6/1974 0:00:00,,,
"883132000","1300",,,"B",,"Market","St","1300 Market St",8/2/1973 0:00:00,6/6/1974 0:00:00,,,
"883133000","1300",,,"C",,"Market","St","1300 Market St",8/2/1973 0:00:00,6/6/1974 0:00:00,,,
"883017910","19","25",,"0000000","S","12th","St","19-25 S 12th St",12/12/2008 0:00:00,,,,
"772614000","1631","37",,"0000000",,"Arch","St","1631-37 Arch St",12/12/2008 0:00:00,,,,
"881517950","1201",,,"0000000",,"Spruce","St","1201 Spruce St",12/12/2008 0:00:00,,,,
"882043201","1910",,,"0000000",,"Chestnut","St","1910 Chestnut St",8/9/2008 0:00:00,,,,
"884352755","7700",,,"A",,"Nixon","St","7700 Nixon St",7/11/2008 0:00:00,,,,
"772077000","750","62",,"0000000","S","Broad","St","750-62 S Broad St",7/11/2008 0:00:00,,,,
"771719500","228","38",,"0000000","N","13th","St","228-38 N 13th St",5/9/2008 0:00:00,,,,
"883026905","507",,,"0000000","S","Broad","St","507 S Broad St",4/13/2007 0:00:00,,,,
"883019200","1200","02",,"0000000",,"Chestnut","St","1200-02 Chestnut St",9/9/2006 0:00:00,,,,
"786186600","3064",,,"0000000",,"Holme","Ave","3064 Holme Ave",,,9/9/2006 0:00:00,"GK",
"572017200","1",,,"0000000",,"Longford","St","1 Longford St",,,6/9/2006 0:00:00,"GK",
"572017300","2",,,"0000000",,"Longford","St","2 Longford St",,,6/9/2006 0:00:00,"GK",
"572017400","3",,,"0000000",,"Longford","St","3 Longford St",,,6/9/2006 0:00:00,"GK",
"572017500","4",,,"0000000",,"Longford","St","4 Longford St",,,6/9/2006 0:00:00,"GK",
"572017600","5",,,"0000000",,"Longford","St","5 Longford St",,,6/9/2006 0:00:00,"GK",
"572017700","6",,,"0000000",,"Longford","St","6 Longford St",,,6/9/2006 0:00:00,"GK",
"572017800","7",,,"0000000",,"Longford","St","7 Longford St",,,6/9/2006 0:00:00,"GK",
"572017900","8",,,"0000000",,"Longford","St","8 Longford St",,,6/9/2006 0:00:00,"GK",
"572018000","9",,,"0000000",,"Longford","St","9 Longford St",,,6/9/2006 0:00:00,"GK",
